Call External ID,Contact External ID,Adviser,Booked At,Slot,Topic,Status,Notes,Input Changes
P00002-C1,P00002,Adviser 01,2025-08-26T13:12:21+05:30,2025-08-30T18:00:00+05:30,Using the app,completed,Walked through using the app; next step agreed.,
P00005-C1,P00005,Adviser 03,2025-10-07T16:58:10+05:30,2025-10-13T19:30:00+05:30,My plan,completed,Walked through my plan; next step agreed.,bucket_guilt_free
P00005-C2,P00005,Adviser 05,2025-12-05T14:06:00+05:30,2025-12-06T19:00:00+05:30,My plan,completed,Walked through my plan; next step agreed.,health_sum_insured; ulip_premium
P00006-C1,P00006,Adviser 01,2025-09-21T18:36:56+05:30,2025-09-23T18:30:00+05:30,Using the app,completed,Walked through using the app; next step agreed.,
P00006-C2,P00006,Adviser 06,2025-10-07T01:04:49+05:30,2025-10-09T17:00:00+05:30,My plan,completed,Walked through my plan; next step agreed.,bucket_variable; bank_and_deposits
P00012-C1,P00012,Adviser 06,2026-05-22T22:04:11+05:30,2026-05-26T16:30:00+05:30,My plan,completed,Walked through my plan; next step agreed.,partner_take_home
P00028-C1,P00028,Adviser 01,2026-05-13T18:11:57+05:30,2026-05-14T15:00:00+05:30,My plan,completed,Walked through my plan; next step agreed.,bank_and_deposits
P00061-C1,P00061,Adviser 06,2026-04-29T23:28:17+05:30,2026-05-03T19:30:00+05:30,The investments and why they were chosen,completed,Walked through the investments and why they were chosen; next step agreed.,ulip_years_completed
P00061-C2,P00061,Adviser 04,2026-06-01T12:57:46+05:30,2026-06-05T12:00:00+05:30,My plan,completed,Walked through my plan; next step agreed. No input changes; the plan is unchanged.,
P00083-C1,P00083,Adviser 04,2026-04-16T14:14:37+05:30,2026-04-19T19:00:00+05:30,Something changed,completed,Walked through something changed; next step agreed.,
P00083-C2,P00083,Adviser 06,2026-05-07T16:51:46+05:30,2026-05-11T17:30:00+05:30,My plan,completed,Walked through my plan; next step agreed.,bucket_guilt_free
P00162-C1,P00162,Adviser 06,2026-06-06T06:49:26+05:30,2026-06-12T19:00:00+05:30,Something changed,completed,Walked through something changed; next step agreed. No input changes; the plan is unchanged.,
P00162-C2,P00162,Adviser 06,2026-07-06T07:52:54+05:30,2026-07-10T12:30:00+05:30,Using the app,completed,Walked through using the app; next step agreed. No input changes; the plan is unchanged.,
P00194-C1,P00194,Adviser 06,2026-04-25T22:21:25+05:30,2026-04-28T10:00:00+05:30,The investments and why they were chosen,completed,Walked through the investments and why they were chosen; next step agreed.,
