Task External ID,Contact External ID,Subject,State ID,Tier,Days Unsigned,Missing Fields,Last Screen,Minutes Left,Call Topic,No-show Count,Payment Reference,Cancel Reason,Period Unexpired,Records Retained,Requested At,Assignee,Due,Status
P00003-T1,P00003,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12b,about N minutes,,,,,,,,Adviser 03,2025-09-08T03:15:11+05:30,done
P00005-T1,P00005,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; stocks; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 05,2025-09-22T10:48:35+05:30,done
P00006-T1,P00006,S19: Finish the N fields that build your plan,S19,diwm,,goals; work_optional_age,D12g,about N minutes,,,,,,,,Adviser 06,2025-09-29T21:55:19+05:30,done
P00012-T1,P00012,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 05,2026-05-04T16:10:26+05:30,done
P00057-T1,P00057,S2b: Sign the agreement,S2b,free,173,,,,,,,,,,,Adviser 02,2026-04-06T20:54:40+05:30,done
P00124-T1,P00124,S19: Finish the N fields that build your plan,S19,diwm,,goals; health_status; term_status; work_optional_age,D12f,about N minutes,,,,,,,,Adviser 05,2026-04-27T23:33:07+05:30,done
P00142-T1,P00142,S2b: Sign the agreement,S2b,free,103,,,,,,,,,,,Adviser 05,2026-06-15T12:51:40+05:30,done
P00162-T1,P00162,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; term_status; total_emi; work_optional_age,D12e,about N minutes,,,,,,,,Adviser 04,2026-05-13T15:24:10+05:30,done
P00180-T1,P00180,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12a,about N minutes,,,,,,,,Adviser 01,2026-05-04T15:57:34+05:30,done
P00194-T1,P00194,S19: Finish the N fields that build your plan,S19,diwm,,,O02,about N minutes,,,,,,,,Adviser 02,2026-05-01T02:32:33+05:30,done
P00202-T1,P00202,S19: Finish the N fields that build your plan,S19,diwm,,total_outgoings,D12h,about N minutes,,,,,,,,Adviser 06,2026-05-08T22:53:22+05:30,done
P00203-T1,P00203,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; stocks; term_status; total_emi; total_outgoings; work_optional_age,D12c,about N minutes,,,,,,,,Adviser 05,2026-05-15T07:13:52+05:30,done
P00302-T1,P00302,S2b: Sign the agreement,S2b,free,140,,,,,,,,,,,Adviser 06,2026-05-07T09:40:03+05:30,done
P00306-T1,P00306,S19: Finish the N fields that build your plan,S19,diwm,,,D12h,about N minutes,,,,,,,,Adviser 03,2026-05-29T17:55:58+05:30,done
P00385-T1,P00385,S19: Finish the N fields that build your plan,S19,diwm,,goals; has_loans; health_status; term_status; total_emi; work_optional_age,O03,about N minutes,,,,,,,,Adviser 02,2026-05-22T11:44:56+05:30,done
P00391-T1,P00391,S2b: Sign the agreement,S2b,free,136,,,,,,,,,,,Adviser 01,2026-05-11T18:37:34+05:30,done
P00453-T1,P00453,S2b: Sign the agreement,S2b,free,129,,,,,,,,,,,Adviser 03,2026-05-18T19:58:35+05:30,done
P00458-T1,P00458,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12a,about N minutes,,,,,,,,Adviser 06,2026-06-09T09:24:23+05:30,done
P00458-T2,P00458,S20: Rebook your call (K05),S20,diwm,,,,,My numbers,2,,,,,,Adviser 06,2026-09-18T12:50:00+05:30,open
P00462-T1,P00462,S19: Finish the N fields that build your plan,S19,diwm,,goals; mutual_funds; take_home; work_optional_age,O03,about N minutes,,,,,,,,Adviser 05,2026-05-28T22:03:59+05:30,done
P00463-T1,P00463,S19: Finish the N fields that build your plan,S19,diwm,,goals; work_optional_age,O03,about N minutes,,,,,,,,Adviser 01,2026-05-20T16:40:48+05:30,done
P00486-T1,P00486,S2b: Sign the agreement,S2b,free,73,,,,,,,,,,,Adviser 04,2026-07-13T08:47:03+05:30,done
P00487-T1,P00487,S19: Finish the N fields that build your plan,S19,diwm,,goals; has_loans; health_status; term_status; total_emi; work_optional_age,O03,about N minutes,,,,,,,,Adviser 04,2026-05-25T16:48:06+05:30,done
P00504-T1,P00504,S2b: Sign the agreement,S2b,free,111,,,,,,,,,,,Adviser 01,2026-06-05T19:44:26+05:30,done
P00557-T1,P00557,S2b: Sign the agreement,S2b,free,124,,,,,,,,,,,Adviser 04,2026-05-25T09:54:21+05:30,done
P00612-T1,P00612,S19: Finish the N fields that build your plan,S19,diwm,,,D12h,about N minutes,,,,,,,,Adviser 05,2026-05-29T23:28:04+05:30,done
P00628-T1,P00628,S19: Finish the N fields that build your plan,S19,diwm,,stocks,O02,about N minutes,,,,,,,,Adviser 04,2026-06-08T09:58:07+05:30,done
P00718-T1,P00718,S25: Confirm deletion,S25,diy,,,,,,,,,,client agreement; KYC record; risk profile; advice register; fee records and invoices,2026-09-22T17:23:23+05:30,Ops 01,2026-09-23T17:23:23+05:30,open
P00734-T1,P00734,S19: Finish the N fields that build your plan,S19,diwm,,,D12h,about N minutes,,,,,,,,Adviser 04,2026-06-09T08:01:26+05:30,done
P00741-T1,P00741,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 03,2026-06-11T04:43:05+05:30,done
P00749-T1,P00749,S20: Rebook your call (K05),S20,diwm,,,,,My numbers,2,,,,,,Adviser 06,2026-09-18T19:20:00+05:30,open
P00766-T1,P00766,S19: Finish the N fields that build your plan,S19,diwm,,,D12h,about N minutes,,,,,,,,Adviser 05,2026-06-15T17:39:14+05:30,done
P00787-T1,P00787,S19: Finish the N fields that build your plan,S19,diwm,,,D12h,about N minutes,,,,,,,,Adviser 04,2026-06-12T08:08:46+05:30,done
P00816-T1,P00816,S19: Finish the N fields that build your plan,S19,diwm,,stocks,O02,about N minutes,,,,,,,,Adviser 06,2026-07-06T01:29:39+05:30,done
P00841-T1,P00841,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,A10c,about N minutes,,,,,,,,Adviser 03,2026-06-15T07:36:59+05:30,done
P00879-T1,P00879,S2b: Sign the agreement,S2b,free,100,,,,,,,,,,,Adviser 02,2026-06-16T10:12:33+05:30,done
P00928-T1,P00928,S19: Finish the N fields that build your plan,S19,diwm,,goals; work_optional_age,O02,about N minutes,,,,,,,,Adviser 06,2026-06-23T06:07:35+05:30,done
P00929-T1,P00929,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; stocks; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 04,2026-06-29T21:01:01+05:30,done
P00933-T1,P00933,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; goals; health_status; term_status; total_outgoings; work_optional_age,D12f,about N minutes,,,,,,,,Adviser 06,2026-07-01T16:14:36+05:30,done
P00957-T1,P00957,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; term_status; total_emi; work_optional_age,D06d,about N minutes,,,,,,,,Adviser 05,2026-08-17T06:41:38+05:30,done
P00974-T1,P00974,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 01,2026-07-13T12:48:32+05:30,done
P00991-T1,P00991,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; term_status; total_emi; work_optional_age,O02,about N minutes,,,,,,,,Adviser 06,2026-06-30T17:50:33+05:30,done
P01034-T1,P01034,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; mutual_funds; stocks; term_status; total_emi; work_optional_age,O02,about N minutes,,,,,,,,Adviser 05,2026-07-17T04:14:36+05:30,done
P01099-T1,P01099,S19: Finish the N fields that build your plan,S19,diwm,,,O02,about N minutes,,,,,,,,Adviser 03,2026-07-07T01:51:44+05:30,done
P01155-T1,P01155,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 01,2026-08-12T13:52:15+05:30,done
P01155-T2,P01155,S20: Rebook your call (K05),S20,diwm,,,,,The investments and why they were chosen,2,,,,,,Adviser 01,2026-09-16T11:20:00+05:30,done
P01314-T1,P01314,S2b: Sign the agreement,S2b,free,75,,,,,,,,,,,Adviser 02,2026-07-13T15:34:06+05:30,done
P01320-T1,P01320,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,A05,about N minutes,,,,,,,,Adviser 04,2026-07-14T19:32:21+05:30,done
P01330-T1,P01330,S19: Finish the N fields that build your plan,S19,diwm,,goals; health_status; term_status; work_optional_age,O02,about N minutes,,,,,,,,Adviser 01,2026-07-16T17:34:12+05:30,done
P01345-T1,P01345,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 03,2026-07-15T15:20:22+05:30,done
P01367-T1,P01367,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; take_home; work_optional_age,O02,about N minutes,,,,,,,,Adviser 04,2026-07-24T05:47:28+05:30,done
P01374-T1,P01374,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; risk_band; rpq_answers; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12a,about N minutes,,,,,,,,Adviser 01,2026-07-20T16:45:00+05:30,done
P01391-T1,P01391,S25: Confirm deletion,S25,diy,,,,,,,,,,client agreement; KYC record; risk profile; advice register; fee records and invoices,2026-09-16T13:02:35+05:30,Ops 01,2026-09-17T13:02:35+05:30,open
P01419-T1,P01419,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 04,2026-07-27T13:05:12+05:30,done
P01425-T1,P01425,S2b: Sign the agreement,S2b,free,68,,,,,,,,,,,Adviser 04,2026-07-20T12:57:12+05:30,done
P01463-T1,P01463,S19: Finish the N fields that build your plan,S19,diwm,,goals; work_optional_age,D12g,about N minutes,,,,,,,,Adviser 04,2026-07-20T00:42:38+05:30,done
P01468-T1,P01468,S19: Finish the N fields that build your plan,S19,diwm,,goals; total_outgoings; work_optional_age,O03,about N minutes,,,,,,,,Adviser 03,2026-08-17T17:20:06+05:30,done
