Task External ID,Contact External ID,Subject,State ID,Tier,Days Unsigned,Missing Fields,Last Screen,Minutes Left,Call Topic,No-show Count,Payment Reference,Cancel Reason,Period Unexpired,Records Retained,Requested At,Assignee,Due,Status,Outcome,Admin Link
P00002-T1,P00002,S19: Finish the N fields that build your plan,S19,diwm,,goals; has_loans; health_status; take_home; term_status; total_emi; work_optional_age,D12e,about N minutes,,,,,,,,Adviser 02,2025-09-19T16:38:56+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00002
P00012-T1,P00012,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; stocks; term_status; total_emi; total_outgoings; work_optional_age,O03,about N minutes,,,,,,,,Adviser 05,2026-04-13T22:31:05+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00012
P00022-T1,P00022,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12a,about N minutes,,,,,,,,Adviser 04,2026-05-29T17:46:56+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00022
P00030-T1,P00030,S19: Finish the N fields that build your plan,S19,diwm,,epf,D12h,about N minutes,,,,,,,,Adviser 02,2026-04-27T01:02:07+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00030
P00035-T1,P00035,S19: Finish the N fields that build your plan,S19,diwm,,take_home,D12h,about N minutes,,,,,,,,Adviser 02,2026-05-15T19:01:42+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00035
P00038-T1,P00038,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,A05,about N minutes,,,,,,,,Adviser 06,2026-05-01T16:44:19+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00038
P00067-T1,P00067,S2b: Sign the agreement,S2b,free,132,,,,,,,,,,,Adviser 03,2026-05-15T08:09:02+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00067
P00068-T1,P00068,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_dependants; has_loans; health_status; members; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,A05,about N minutes,,,,,,,,Adviser 05,2026-06-04T09:43:39+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00068
P00071-T1,P00071,S25: Confirm deletion,S25,diy,,,,,,,,,,client agreement; KYC record; risk profile; advice register; fee records and invoices,2026-09-22T03:10:57+05:30,Ops 01,2026-09-23T03:10:57+05:30,open,pending,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00071
P00085-T1,P00085,S19: Finish the N fields that build your plan,S19,diwm,,goals; total_outgoings; work_optional_age,O03,about N minutes,,,,,,,,Adviser 05,2026-06-02T00:48:11+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00085
P00090-T1,P00090,S19: Finish the N fields that build your plan,S19,diwm,,epf; goals; has_loans; health_status; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 02,2026-05-27T17:36:09+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00090
P00090-T2,P00090,S20: Rebook your call (K05),S20,diwm,,,,,The investments and why they were chosen,2,,,,,,Adviser 02,2026-09-22T16:20:00+05:30,open,pending,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00090
P00156-T1,P00156,S20: Rebook your call (K05),S20,diwm,,,,,My numbers,2,,,,,,Adviser 03,2026-09-21T18:20:00+05:30,open,pending,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00156
P00177-T1,P00177,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; work_optional_age,D12d,about N minutes,,,,,,,,Adviser 01,2026-07-02T00:48:44+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00177
P00210-T1,P00210,S2b: Sign the agreement,S2b,free,82,,,,,,,,,,,Adviser 06,2026-07-06T12:38:58+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00210
P00223-T1,P00223,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; risk_band; rpq_answers; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,O02,about N minutes,,,,,,,,Adviser 03,2026-07-16T21:16:25+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00223
P00223-T2,P00223,S19: Finish the N fields that build your plan,S19,diwm,,bank_and_deposits; epf; goals; has_loans; health_status; mutual_funds; stocks; take_home; term_status; total_emi; total_outgoings; work_optional_age,D12b,about N minutes,,,,,,,,Adviser 03,2026-08-10T06:03:22+05:30,done,done,https://spiffler33.github.io/yeslyf-wireframes/admin_wireframes.html?run=500&screen=M03&person=P00223
